VIO_ID,ACCT_NUM,ACCT_OWNER,VIOLATION_NUM,VIO_LAW_NUM,VIO_LAW_DESC,VIO_DATE,ACTION,PREM_ADDR,BIN,COMMUNITY.BOARD,COUNCIL.DISTRICT,BBL,LATITUDE,LONGITUDE,POSTCODE,BOROUGH,NUMBER,STREET,CENSUS.TRACT,NTA
33008,6121362,NAGAR SARATOGA LLC,E488704,FO 4,SEAL TANK,12/1/2017,OPEN,900 SARATOGA AVE,3082175,316,42,3035950001,40.65858,-73.915037,11212,BK,900,SARATOGA AVE,894,Brownsville
37401,38182077,OWNER OF 1623 FLATBUSH,E511545,PA 36,PROVIDE COF HOLDER FOR IFA,5/23/2018,OPEN,1623 FLATBUSH AVE,3206448,317,45,3075780049,40.631094,-73.945134,11210,BK,1623,FLATBUSH AVE,776,Flatlands
27906,27059930,UNION STREET CAFE,E271930,RH-53,SEMI ANNUAL INSPECTION & RECORDS REQ.,5/5/2009,OPEN,338 UNION ST,3007268,306,39,3004360010,40.681408,-73.993816,11231,BK,338,UNION ST,75,Carroll Gardens-Columbia Street-Red Hook
32137,36027787,HUMMUS MARKET,E480751,RH-81,PROVIDE CLEANING & OPER INST & DUCT SKET,5/23/2017,OPEN,361 GRAHAM AVE,3068607,301,34,3027540029,40.715389,-73.944779,11211,BK,361,GRAHAM AVE,497,East Williamsburg
29269,28220911,W&P REST,E395317,RH-2,LEGALIZE EXTINGUISHING SYSTEM -NO RECORD,6/12/2018,OPEN,355 ROGERS AVE,3034429,309,35,3013050001,40.664765,-73.953515,11225,BK,355,ROGERS AVE,321,Crown Heights South
34803,32291445,ENGINE COMPANY #255,E293088,RH-53,SEMI ANNUAL INSPECTION & RECORDS REQ.,5/26/2010,OPEN,1367 ROGERS AVE,3120929,314,45,3052290009,40.636434,-73.950654,11210,BK,1367,ROGERS AVE,788,Flatbush
39331,33223611,INDUSTRY CITY ASSOCIATES,E384197,OTHER0001,SEE FOLDER INFORMATION,8/30/2013,OPEN,21 HALL ST,3329757,302,35,3018760001,40.696895,-73.96626,11205,BK,21,HALL ST,543,park-cemetery-etc-Brooklyn
37452,28183333,SHOP SMART SUPERMARKET,E489657,RH-85,REINSPECTION REQUIRED,10/2/2017,OPEN,2640 NOSTRAND AVE,3209566,314,45,3076470075,40.620221,-73.94597,11210,BK,2640,NOSTRAND AVE,748,Midwood
36122,31115629,TUBETEYKA CAFE(1FL),E435048,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,12/14/2015,OPEN,2158 BATH AVE,3168979,311,47,3064470030,40.598704,-73.997985,11214,BK,2158,BATH AVE,292,Bath Beach
30399,89064158,BED STUYVESANT CORP.,E526625,HR-3,NO FSD OR DFSD ON DUTY,12/12/2017,OPEN,1368 FULTON ST,3053786,303,36,3018620014,40.679918,-73.945612,11216,BK,1368,FULTON ST,247,Crown Heights North
34921,27108463,E & S REALTY,E491180,OTHER0001,SEE FOLDER INFORMATION,5/29/2018,OPEN,28 CATON AVE,3124105,312,39,3053230005,40.647059,-73.980617,11218,BK,28,CATON AVE,498,Kensington-Ocean Parkway
27328,27107275,NYPD,E491191,OTHER0001,SEE FOLDER INFORMATION,6/5/2018,OPEN,301 GOLD ST,3000252,302,35,3001340006,40.695488,-73.982841,11201,BK,301,GOLD ST,15,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
28620,13342,UNITED POSTAL SERVICE,E408855,SPK 7,ARRANGE 5 YEAR HYDRO TEST OF SPK SYS,9/4/2014,OPEN,275 9 ST,3022104,306,39,3010040055,40.669871,-73.987049,11215,BK,275,9 ST,137,Park Slope-Gowanus
