VIO_ID,ACCT_NUM,ACCT_OWNER,VIOLATION_NUM,VIO_LAW_NUM,VIO_LAW_DESC,VIO_DATE,ACTION,PREM_ADDR,BIN,COMMUNITY.BOARD,COUNCIL.DISTRICT,BBL,LATITUDE,LONGITUDE,POSTCODE,BOROUGH,NUMBER,STREET,CENSUS.TRACT,NTA
14977,30017834,MANHATTAN ALTERNATE,E285646,RH-81,PROVIDE CLEANING & OPER INST & DUCT SKET,1/6/2010,OPEN,80 AUDUBON AVE,1063017,112,10,1021260014,40.84144,-73.938071,10032,MN,80,AUDUBON AVE,253,Washington Heights South
9624,85026011,106 W 69 ST ASSOC,E560057,STP 6,PROVIDEAPPROVEDCAPSFORTHE STD SIAMESE,9/29/2018,OPEN,102 W 69 ST,1028949,107,6,1011400133,40.775438,-73.980656,10023,MN,102,W 69 ST,153,Lincoln Square
5610,1200039,REALTIES 1430,E560645,OTHER0001,SEE FOLDER INFORMATION,11/28/2018,OPEN,1430 BROADWAY,1015281,105,4,1008150046,40.753905,-73.986413,10018,MN,1430,BROADWAY,113,Midtown-Midtown South
45873,92047190,ST NICHOLAS CHURCH,E528837,SPPA 4,NO PA PERMIT,7/18/2018,OPEN,181-14 MIDLAND PKWY,4155872,408,24,4072450001,40.720655,-73.784331,11432,QN,181-14,MIDLAND PKWY,1277,Jamaica Estates-Holliswood
6326,29215415,JERUSALEM CAFE,E522491,RH-1,INSTALL FIRE PROTECTION ORDER,6/13/2018,OPEN,35 W 36 ST,1015925,105,4,1008380021,40.750659,-73.985287,10018,MN,35,W 36 ST,84,Midtown-Midtown South
38271,97076194,"850 ATLANTIC COLLISION,",E412030,SPRY00B31,FILE PLANS OF INSTALLATION WITH BLDGS,6/23/2014,OPEN,482 BLAKE AVE,3252611,305,42,3037820015,40.666683,-73.900971,11207,BK,482,BLAKE AVE,1134,East New York (Pennsylvania Ave)
31082,35055003,NYC HOUSING AUTHORITY,E463475,SPPA 4,NO PA PERMIT,5/5/2016,OPEN,114 TAYLOR ST,3059905,301,33,3021760001,40.705307,-73.963181,11249,BK,114,TAYLOR ST,545,Williamsburg
51663,31272438,IS 24 M S BARNES,E458839,PBU-11A,Restore fire protection system,12/12/2016,OPEN,225 CLEVELAND AVE,5065854,503,51,5051530108,40.545764,-74.145625,10308,SI,225,CLEVELAND AVE,13203,Great Kills
44225,91063578,BRIDIE BAR & GRILL,E535133,RH-7,ARRANGE FOR TEST OR RETEST OF FIRE SYS,5/17/2018,OPEN,63-28 WOODHAVEN BLVD,4069611,405,30,4029990017,40.723559,-73.869049,11374,QN,63-28,WOODHAVEN BLVD,679,Middle Village
16390,91084533,SWEET LIFE CAFE,E522862,RH-3,LEGALIZE - SYSTEM ALTERED,2/6/2018,OPEN,147 CHRISTOPHER ST,1078234,102,3,1006300024,40.732953,-74.007854,10014,MN,147,CHRISTOPHER ST,75,West Village
